Product,Monthly_Expense,Purchase_Frequency,Is_Seasonal,Label
Luxury Watch,99009,0.65,0,1
Designer Bag,76644,0.34,1,1
Cooking Oil,941,22.8,0,0
Air Conditioner,34858,1.23,1,1
Laptop,81436,2.99,0,1
Perfume,16935,2.07,0,1
Laptop,54392,0.38,0,1
Air Conditioner,12932,2.39,1,1
Rice,762,24.2,1,0
Designer Bag,63394,4.68,1,1
Designer Bag,72723,2.65,1,1
Shampoo,764,19.8,0,0
Milk,1552,18.7,1,0
Luxury Watch,98992,2.04,1,1
Salt,801,11.0,1,0
Camera,12990,2.43,1,1
Salt,702,13.5,0,0
Toothpaste,1189,27.1,1,0
Gaming Console,81584,4.13,1,1
Milk,1844,18.3,1,0
Designer Bag,34971,1.06,1,1
Designer Bag,70220,4.98,1,1
Jewelry,22703,3.97,1,1
Air Conditioner,37357,1.06,1,1
Smartphone,14410,1.96,1,1
Milk,1741,23.2,0,0
Jewelry,99933,1.75,1,1
Shampoo,1127,24.6,1,0
Air Conditioner,89038,0.94,1,1
Laptop,86984,4.27,1,1
Toothpaste,1795,21.0,0,0
Eggs,1082,27.6,1,0
Toothpaste,611,19.9,0,0
Shampoo,1286,21.4,1,0
Air Conditioner,62327,0.75,1,1
Milk,1660,20.6,0,0
Bread,1330,22.8,1,0
Bread,426,25.2,1,0
Gaming Console,28419,0.7,1,1
Salt,1256,22.1,0,0
Jewelry,66403,2.13,1,1
Vegetables,678,27.0,1,0
Gaming Console,61756,1.12,0,1
Milk,941,19.1,1,0
Vegetables,240,15.8,0,0
Jewelry,41943,1.26,0,1
Camera,27698,0.96,1,1
Soap,1899,15.4,1,0
Eggs,1987,21.1,0,0
Camera,86819,4.57,1,1
Smartphone,49738,2.75,0,1
Toothpaste,1723,24.7,1,0
Rice,1970,20.7,0,0
Eggs,422,13.2,0,0
Jewelry,84296,2.37,1,1
Soap,262,23.6,0,0
Salt,1499,26.8,0,0
Perfume,56060,1.83,0,1
Cooking Oil,1673,22.2,0,0
Laptop,47690,1.53,0,1
Jewelry,80691,4.83,0,1
Air Conditioner,49475,3.27,1,1
Perfume,69095,2.0,0,1
Designer Bag,85158,3.01,1,1
Eggs,845,28.3,0,0
Smartphone,30976,2.44,1,1
Gaming Console,72640,4.11,1,1
Shampoo,776,19.1,0,0
Bread,1376,17.7,0,0
Jewelry,20050,2.16,1,1
Eggs,268,25.1,0,0
Gaming Console,25767,2.27,0,1
Smartphone,19207,0.58,0,1
Laptop,51581,1.47,1,1
Milk,1768,18.1,0,0
Shampoo,1318,10.3,0,0
Vegetables,1888,17.6,1,0
Camera,30712,1.99,1,1
Jewelry,40420,4.88,1,1
Shampoo,1501,28.6,0,0
Camera,49047,2.41,0,1
Eggs,1766,18.9,0,0
Smart TV,93768,4.17,1,1
Camera,82440,0.79,1,1
Milk,847,13.9,1,0
Smartphone,47965,3.04,1,1
Luxury Watch,79408,4.38,1,1
Toothpaste,418,22.3,0,0
Smartphone,27877,3.71,1,1
Eggs,105,19.4,1,0
Salt,534,29.6,0,0
Soap,1241,24.3,0,0
Toothpaste,1614,10.7,1,0
Vegetables,345,12.2,1,0
Laptop,52656,1.45,1,1
Gaming Console,85122,2.79,1,1
Bread,536,18.6,1,0
Eggs,1554,16.8,0,0
Camera,24075,2.63,1,1
Smartphone,94417,4.81,1,1
Salt,497,21.1,1,0
Smartphone,29858,1.31,1,1
Salt,1643,11.4,1,0
Camera,56336,1.37,0,1
Bread,1023,15.1,0,0
Toothpaste,364,13.4,0,0
Designer Bag,30153,3.53,1,1
Eggs,1719,28.5,1,0
Rice,987,25.1,0,0
Eggs,1162,15.8,0,0
Air Conditioner,77585,3.91,1,1
Eggs,1928,11.2,0,0
Camera,59622,3.09,0,1
Air Conditioner,10007,2.45,1,1
Toothpaste,250,15.3,0,0
Soap,639,26.3,1,0
Toothpaste,771,26.1,0,0
Smartphone,49940,1.61,1,1
Designer Bag,12259,2.71,0,1
Air Conditioner,85786,2.88,1,1
Perfume,78401,3.79,1,1
Eggs,412,10.9,0,0
Gaming Console,88218,3.85,1,1
Luxury Watch,67466,0.06,1,1
Luxury Watch,27439,1.63,0,1
Salt,1369,29.8,0,0
Air Conditioner,6081,3.17,0,1
Soap,271,15.6,0,0
Gaming Console,13776,3.99,1,1
Air Conditioner,36170,2.52,0,1
Designer Bag,97949,4.32,1,1
Laptop,56582,1.53,0,1
Perfume,72361,0.46,1,1
Jewelry,35872,2.85,0,1
Bread,176,11.6,0,0
Rice,456,19.9,0,0
Laptop,66130,1.72,1,1
Gaming Console,74804,3.24,0,1
Milk,1431,21.6,0,0
Rice,501,10.7,0,0
Milk,1432,15.8,0,0
Vegetables,1129,26.9,0,0
Shampoo,344,21.6,1,0
Camera,67611,2.89,1,1
Smart TV,39344,2.61,1,1
Smartphone,46828,2.1,1,1
Air Conditioner,75647,0.68,0,1
Gaming Console,84290,0.59,1,1
Eggs,1184,13.3,0,0
Rice,1024,21.8,0,0
Luxury Watch,29763,0.69,0,1
Toothpaste,325,26.0,0,0
Bread,1363,12.5,0,0
Cooking Oil,1780,11.6,1,0
Smartphone,96771,3.21,0,1
Camera,48786,2.74,1,1
Jewelry,82182,4.15,1,1
Vegetables,1071,18.9,0,0
Smart TV,98222,2.65,0,1
Air Conditioner,30511,0.64,0,1
Smartphone,16213,0.15,1,1
Smartphone,57485,2.67,1,1
Milk,1300,17.1,0,0
Gaming Console,45069,0.53,0,1
Salt,1130,12.7,0,0
Laptop,20262,3.94,1,1
Gaming Console,11435,4.5,0,1
Luxury Watch,12740,4.83,1,1
Laptop,9054,3.97,1,1
Shampoo,1903,14.5,0,0
Milk,918,21.9,0,0
Perfume,94834,4.7,1,1
Gaming Console,56446,1.4,1,1
Shampoo,931,12.0,0,0
Soap,1896,24.8,1,0
Camera,6152,1.15,1,1
Rice,1970,22.1,0,0
Toothpaste,402,29.8,0,0
Air Conditioner,44516,1.89,1,1
Gaming Console,5771,1.62,1,1
Vegetables,1872,26.4,0,0
Rice,1464,19.3,0,0
Luxury Watch,26320,1.48,1,1
Vegetables,1506,27.8,0,0
Milk,648,12.4,0,0
Vegetables,564,21.2,0,0
Cooking Oil,1553,25.5,0,0
Eggs,250,12.2,0,0
Camera,30645,0.7,0,1
Salt,989,19.0,0,0
Milk,101,27.8,0,0
Toothpaste,953,29.1,0,0
Toothpaste,1300,11.8,0,0
Bread,347,28.1,0,0
Soap,1219,28.3,0,0
Rice,1276,14.9,1,0
Smartphone,7221,4.36,1,1
Smartphone,67254,2.36,1,1
Jewelry,15955,2.16,1,1
Soap,1142,23.5,0,0
Bread,531,14.6,1,0
Smartphone,82434,2.26,1,1
Laptop,66447,4.81,1,1
Designer Bag,20930,3.03,1,1
Smartphone,6421,0.2,1,1
Smart TV,84822,4.18,0,1
Vegetables,427,24.1,0,0
Gaming Console,31198,1.59,1,1
Toothpaste,619,12.8,0,0
Milk,556,25.2,0,0
Toothpaste,1862,22.3,0,0
Milk,1985,26.1,0,0
Soap,1334,17.0,0,0
Laptop,30889,4.78,0,1
Jewelry,20207,3.04,1,1
Laptop,82141,4.42,0,1
Bread,1915,26.0,1,0
Air Conditioner,72085,4.31,1,1
Luxury Watch,77519,2.75,0,1
Eggs,1184,25.6,0,0
Vegetables,890,13.7,0,0
Cooking Oil,179,11.7,0,0
Eggs,876,11.5,0,0
Laptop,54805,3.48,0,1
Laptop,73288,4.99,0,1
Rice,511,10.5,1,0
Smart TV,76373,2.71,0,1
Bread,1701,10.9,1,0
Designer Bag,26864,1.34,0,1
Perfume,56511,3.31,1,1
Shampoo,1057,28.7,1,0
Air Conditioner,95219,1.01,0,1
Air Conditioner,24564,0.11,0,1
Designer Bag,41548,3.36,1,1
Luxury Watch,72660,0.85,0,1
Salt,759,10.3,1,0
Cooking Oil,723,17.4,0,0
Designer Bag,15767,1.18,1,1
Shampoo,898,14.0,0,0
Camera,82351,1.97,1,1
Soap,378,29.9,1,0
Vegetables,1233,27.8,0,0
Cooking Oil,392,20.1,1,0
Rice,358,25.4,0,0
Cooking Oil,188,24.8,1,0
Luxury Watch,94493,1.39,0,1
Shampoo,718,23.7,0,0
Cooking Oil,1520,21.1,0,0
Smart TV,77525,4.42,1,1
Perfume,82106,1.66,0,1
Laptop,33705,3.01,1,1
Soap,614,13.9,0,0
Salt,1321,25.1,0,0
Shampoo,895,18.6,1,0
Jewelry,99672,3.01,0,1
Laptop,7424,2.14,0,1
Camera,62007,1.77,1,1
Salt,1749,25.7,0,0
Designer Bag,89592,2.33,1,1
Gaming Console,36995,3.26,1,1
Milk,1249,23.1,0,0
Bread,1244,23.3,0,0
Eggs,462,28.6,1,0
Salt,1286,14.5,0,0
Smartphone,38451,0.61,0,1
Vegetables,1304,13.0,0,0
Toothpaste,291,28.0,0,0
Smart TV,16325,4.82,1,1
Milk,1305,15.6,0,0
Bread,482,24.3,0,0
Rice,473,16.5,0,0
Smartphone,39819,0.64,0,1
Smart TV,52061,2.42,1,1
Soap,1904,21.2,1,0
Smart TV,83809,3.23,1,1
Luxury Watch,81727,4.43,1,1
Eggs,1704,21.2,0,0
Soap,260,10.5,0,0
Smart TV,51102,3.02,1,1
Air Conditioner,66554,2.39,1,1
Laptop,13531,3.91,0,1
Designer Bag,73329,0.7,0,1
Smartphone,68661,1.4,1,1
Designer Bag,95824,4.39,0,1
Salt,531,14.8,0,0
Toothpaste,1239,26.1,0,0
Vegetables,845,10.7,1,0
Gaming Console,29728,4.38,1,1
Shampoo,967,15.4,1,0
Bread,930,21.4,0,0
Bread,1083,21.5,1,0
Perfume,53610,4.15,0,1
Perfume,93806,3.39,1,1
Camera,83758,2.26,1,1
Milk,897,12.3,1,0
Smartphone,94200,2.65,1,1
Shampoo,1747,20.9,0,0
Perfume,42462,0.44,0,1
Eggs,272,13.4,0,0
Milk,1916,23.1,0,0
Milk,564,19.1,0,0
Designer Bag,47241,3.6,1,1
Luxury Watch,59033,3.48,1,1
Jewelry,35611,0.89,0,1
Milk,546,16.4,1,0
Smartphone,56637,4.14,1,1
Jewelry,33100,0.59,1,1
Rice,1740,20.2,0,0
Soap,582,15.9,0,0
Gaming Console,10021,1.11,1,1
Designer Bag,17932,4.6,1,1
Luxury Watch,94266,3.22,0,1
Rice,378,13.1,0,0
Laptop,98863,4.89,0,1
Luxury Watch,57732,3.81,1,1
Eggs,1796,18.4,0,0
Smart TV,65512,3.01,0,1
Smartphone,55740,2.1,1,1
Luxury Watch,73376,2.42,1,1
Air Conditioner,99889,3.39,1,1
Perfume,30648,2.04,1,1
Air Conditioner,87172,1.15,1,1
Camera,58828,2.28,1,1
Perfume,37170,4.18,1,1
Gaming Console,74110,2.64,1,1
Laptop,90161,3.99,0,1
Gaming Console,69338,4.93,1,1
Milk,566,30.0,1,0
Rice,287,22.5,0,0
Eggs,1283,18.5,0,0
Rice,1267,10.2,0,0
Salt,137,20.9,1,0
Perfume,53145,0.91,1,1
Designer Bag,66890,2.4,0,1
Cooking Oil,1329,22.5,0,0
Air Conditioner,12598,1.69,1,1
Toothpaste,580,19.4,1,0
Smartphone,86897,4.21,1,1
Shampoo,588,12.3,1,0
Smartphone,80625,1.97,0,1
Shampoo,448,22.9,0,0
Jewelry,34632,2.09,0,1
Camera,59176,2.24,1,1
Air Conditioner,15819,4.3,1,1
Bread,616,16.6,1,0
Perfume,19516,3.54,1,1
Salt,674,20.0,0,0
Salt,757,24.6,0,0
Cooking Oil,574,16.8,1,0
Perfume,98829,3.33,1,1
Designer Bag,97605,1.8,0,1
Smart TV,39465,1.41,1,1
Rice,565,18.8,0,0
Shampoo,256,14.6,0,0
Jewelry,15907,1.56,0,1
Air Conditioner,31737,3.3,1,1
Vegetables,1033,14.8,0,0
Luxury Watch,55608,3.12,1,1
Cooking Oil,1832,11.7,0,0
Bread,371,18.9,1,0
Camera,67849,4.62,1,1
Vegetables,1504,27.8,1,0
Eggs,402,26.4,0,0
Smartphone,77892,4.55,0,1
Toothpaste,815,18.7,0,0
Soap,780,17.8,1,0
Smartphone,42346,4.61,0,1
Salt,725,11.3,0,0
Salt,1298,14.9,1,0
Luxury Watch,71509,4.78,0,1
Luxury Watch,48443,3.34,0,1
Gaming Console,48887,2.36,1,1
Shampoo,414,13.4,0,0
Soap,1424,27.9,0,0
Milk,1445,28.5,0,0
Rice,1899,11.7,0,0
Salt,1906,26.5,0,0
Cooking Oil,1873,26.2,0,0
Soap,1435,21.4,0,0
Vegetables,600,19.7,0,0
Designer Bag,36409,4.83,1,1
Eggs,593,13.9,1,0
Rice,660,15.4,0,0
Smart TV,40807,1.92,1,1
Luxury Watch,10011,1.2,0,1
Cooking Oil,1575,19.5,0,0
Salt,1760,17.7,1,0
Laptop,46674,4.26,1,1
Laptop,18635,4.87,1,1
Soap,1055,21.8,0,0
Eggs,886,29.9,0,0
Soap,788,14.3,1,0
Air Conditioner,68560,0.97,1,1
Perfume,97731,0.62,1,1
Salt,1350,26.0,1,0
Cooking Oil,583,21.3,0,0
Cooking Oil,518,10.2,0,0
Smartphone,27242,4.39,0,1
Bread,1925,18.7,0,0
Jewelry,55632,2.81,1,1
Camera,98723,0.46,1,1
Bread,1187,19.7,0,0
Designer Bag,83019,2.65,1,1
Toothpaste,1227,13.7,1,0
Rice,1635,17.0,1,0
Camera,94894,3.08,1,1
Eggs,406,10.5,1,0
Gaming Console,67594,3.77,0,1
Smart TV,79605,3.7,1,1
Cooking Oil,1694,29.9,1,0
Toothpaste,1302,26.1,0,0
Jewelry,46910,1.76,1,1
Bread,615,11.9,0,0
Rice,973,11.0,1,0
Vegetables,1617,19.7,0,0
Milk,1776,15.5,0,0
Salt,638,29.1,1,0
Soap,837,16.2,0,0
Gaming Console,33052,3.45,1,1
Eggs,1700,17.6,0,0
Eggs,624,16.1,1,0
Perfume,41964,1.99,0,1
Luxury Watch,75713,4.9,1,1
Smart TV,27708,0.38,1,1
Air Conditioner,92851,2.65,1,1
Luxury Watch,45101,2.49,0,1
Vegetables,430,11.6,1,0
Gaming Console,98574,0.74,1,1
Salt,945,22.2,1,0
Soap,1967,29.6,1,0
Rice,380,12.8,0,0
Vegetables,1573,26.8,0,0
Soap,436,29.8,0,0
Bread,745,15.7,1,0
Bread,1663,23.6,1,0
Cooking Oil,120,13.5,0,0
Gaming Console,96633,2.66,1,1
Luxury Watch,36057,4.85,1,1
Toothpaste,1037,12.4,1,0
Cooking Oil,952,28.9,0,0
Camera,63236,1.02,0,1
Salt,971,28.0,0,0
Salt,1005,19.6,0,0
Soap,1516,27.2,0,0
Cooking Oil,1550,27.0,1,0
Gaming Console,83204,3.91,0,1
Shampoo,972,17.5,1,0
Laptop,52490,1.02,1,1
Vegetables,1958,19.0,0,0
Salt,1032,23.9,0,0
Salt,1136,14.1,0,0
Cooking Oil,670,13.0,0,0
Salt,792,23.6,0,0
Luxury Watch,52292,2.52,0,1
Smart TV,7792,0.2,1,1
Salt,1887,26.3,0,0
Bread,1492,18.1,0,0
Salt,1167,20.2,0,0
Cooking Oil,208,26.0,1,0
Bread,129,24.7,0,0
Milk,1142,12.9,0,0
Luxury Watch,89144,0.43,1,1
Soap,1753,29.2,0,0
Designer Bag,10618,2.91,1,1
Smartphone,63943,0.42,1,1
Camera,53622,1.29,1,1
Jewelry,62153,0.77,0,1
Salt,1110,23.0,0,0
Soap,1663,22.4,1,0
Rice,1241,19.0,1,0
Smartphone,15306,0.9,0,1
Air Conditioner,81852,2.7,1,1
Bread,1091,24.7,0,0
Designer Bag,19802,0.21,1,1
Designer Bag,70569,2.83,1,1
Laptop,84496,4.31,0,1
Air Conditioner,32682,1.8,0,1
Smartphone,15419,0.97,0,1
Smartphone,71233,0.54,1,1
Cooking Oil,1924,20.6,0,0
Shampoo,488,10.6,0,0
Vegetables,335,29.3,0,0
Toothpaste,1006,29.6,0,0
Salt,818,20.0,1,0
Jewelry,98369,2.51,1,1
Luxury Watch,77674,0.76,1,1
Soap,364,26.7,0,0
Eggs,1195,21.1,1,0
Camera,43587,3.28,1,1
Jewelry,33503,4.86,1,1
Air Conditioner,77683,3.4,1,1
Luxury Watch,96270,1.53,0,1
Laptop,82464,1.44,1,1
Toothpaste,1076,21.9,1,0
Vegetables,1087,28.5,0,0
Jewelry,40707,2.44,1,1
Gaming Console,40414,1.22,1,1
Soap,557,28.4,0,0
Vegetables,1596,13.8,0,0
Air Conditioner,13436,1.74,1,1
Shampoo,1282,11.8,0,0
Laptop,71990,4.73,1,1
Shampoo,1334,10.4,0,0
Eggs,1560,26.5,0,0
Gaming Console,33545,0.37,0,1
Air Conditioner,29844,4.7,0,1
Eggs,671,16.9,0,0
Gaming Console,70268,0.58,1,1
Milk,622,28.5,0,0
Luxury Watch,63796,3.19,0,1
Salt,817,17.5,0,0
Smart TV,7647,2.11,0,1
Shampoo,1409,27.3,0,0
Camera,18514,0.95,1,1
Milk,1168,12.3,0,0
Bread,1365,19.7,0,0
Smart TV,40918,0.93,1,1
Designer Bag,83801,2.85,1,1
Air Conditioner,32074,3.51,1,1
Designer Bag,29898,0.8,1,1
Smartphone,38415,2.15,1,1
Salt,1458,27.0,0,0
Soap,1976,18.7,0,0
Eggs,1125,19.6,0,0
Rice,649,29.1,0,0
Smart TV,6265,3.26,0,1
Rice,451,14.9,1,0
Laptop,41123,1.12,0,1
Bread,948,22.7,1,0
Milk,1014,25.2,0,0
Jewelry,79799,4.5,1,1
Jewelry,14274,3.59,1,1
Camera,67628,0.09,1,1
Milk,777,17.5,0,0
Luxury Watch,53647,0.23,0,1
Toothpaste,1329,12.2,0,0
Bread,1862,23.8,1,0
Smart TV,70269,3.98,0,1
Salt,751,17.7,1,0
Rice,1906,23.1,0,0
Milk,694,13.9,1,0
Vegetables,473,20.1,0,0
Designer Bag,54207,4.45,1,1
Smartphone,15656,1.03,0,1
Shampoo,264,19.5,0,0
Salt,873,12.9,0,0
Salt,1492,10.7,0,0
Salt,1205,15.5,0,0
Salt,1852,18.2,0,0
Toothpaste,348,22.7,0,0
Camera,17893,1.53,0,1
Smart TV,82080,2.14,1,1
Shampoo,1431,18.6,0,0
Eggs,1625,16.5,0,0
Laptop,46385,1.93,1,1
Eggs,1686,15.7,1,0
Cooking Oil,221,17.1,0,0
Laptop,92029,4.29,0,1
Salt,282,15.1,0,0
Eggs,133,18.1,0,0
Salt,1327,17.2,1,0
Luxury Watch,96871,4.15,0,1
Shampoo,1573,17.6,0,0
Milk,1699,15.1,0,0
Jewelry,50470,2.68,1,1
Camera,47189,2.41,0,1
Air Conditioner,81667,3.06,1,1
Bread,341,17.7,0,0
Bread,1133,24.8,1,0
Smart TV,71243,4.24,1,1
Air Conditioner,18415,2.42,1,1
Toothpaste,1890,26.8,1,0
Cooking Oil,1798,25.7,0,0
Soap,701,18.3,0,0
Smartphone,71168,2.02,1,1
Camera,47859,4.96,0,1
Smart TV,33020,1.42,1,1
Laptop,85342,0.73,0,1
Gaming Console,27677,2.73,1,1
Toothpaste,790,15.0,0,0
Shampoo,353,12.0,1,0
Cooking Oil,1147,27.8,0,0
Air Conditioner,19539,3.09,1,1
Salt,1599,26.0,0,0
Air Conditioner,19065,0.15,1,1
Jewelry,84060,4.74,0,1
Vegetables,404,27.8,0,0
Milk,248,25.7,0,0
Gaming Console,64740,2.09,1,1
Smartphone,34051,1.72,1,1
Vegetables,1391,25.8,0,0
Soap,415,11.9,1,0
Perfume,91615,0.5,0,1
Camera,89339,3.87,1,1
Jewelry,42088,4.59,1,1
Air Conditioner,48896,0.99,1,1
Designer Bag,31223,1.48,1,1
Camera,99945,1.46,0,1
Shampoo,1090,10.4,0,0
Shampoo,1458,28.3,0,0
Vegetables,626,11.8,0,0
Air Conditioner,52599,2.07,1,1
Luxury Watch,62574,3.73,1,1
Salt,990,18.7,1,0
Gaming Console,85749,4.28,0,1
Gaming Console,74618,1.52,1,1
Jewelry,42666,4.34,1,1
Smart TV,61588,1.64,0,1
Jewelry,99203,1.29,1,1
Milk,1074,23.1,0,0
Salt,1918,10.4,0,0
Gaming Console,44597,4.19,1,1
Laptop,85244,0.09,1,1
Vegetables,1173,16.6,1,0
Toothpaste,321,27.2,0,0
Gaming Console,33322,4.15,1,1
Smart TV,91458,2.95,1,1
Perfume,45863,2.94,1,1
Salt,1250,12.0,0,0
Salt,925,11.7,0,0
Camera,35804,3.47,1,1
Cooking Oil,1029,27.6,0,0
Milk,976,25.9,1,0
Bread,1087,21.4,0,0
Vegetables,719,23.6,0,0
Smart TV,76129,4.55,1,1
Luxury Watch,34695,3.18,1,1
Bread,539,12.7,1,0
Milk,1608,23.3,1,0
Salt,608,12.5,1,0
Soap,1534,26.7,0,0
Milk,426,21.1,0,0
Designer Bag,91904,1.8,1,1
Rice,1637,21.4,0,0
Toothpaste,1107,14.8,1,0
Smart TV,36307,2.59,1,1
Eggs,247,24.3,1,0
Cooking Oil,916,10.5,0,0
Cooking Oil,1574,12.1,0,0
Vegetables,1812,26.7,0,0
Cooking Oil,1348,18.5,0,0
Cooking Oil,138,18.6,0,0
Rice,712,20.2,1,0
Toothpaste,1740,24.0,0,0
Jewelry,56147,1.78,0,1
Shampoo,300,17.5,0,0
Smartphone,34280,2.42,0,1
Vegetables,1910,25.0,0,0
Laptop,69475,0.42,1,1
Air Conditioner,68010,2.65,1,1
Shampoo,908,17.7,0,0
Gaming Console,53166,4.26,0,1
Laptop,67753,1.67,1,1
Designer Bag,66683,2.06,0,1
Camera,70766,0.63,1,1
Rice,1475,23.6,0,0
Camera,47731,1.07,1,1
Luxury Watch,35651,2.06,1,1
Camera,5699,4.16,1,1
Salt,1685,20.3,0,0
Toothpaste,1173,21.7,1,0
Perfume,98065,0.19,1,1
Gaming Console,28269,3.85,1,1
Perfume,21393,2.83,0,1
Shampoo,1016,28.2,0,0
Gaming Console,21214,4.51,1,1
Camera,13062,2.66,0,1
Eggs,1894,11.2,0,0
Camera,28738,4.76,1,1
Luxury Watch,33354,3.96,1,1
Salt,1060,10.1,0,0
Salt,320,10.1,1,0
Smartphone,53409,1.5,0,1
Smartphone,54319,2.33,1,1
Air Conditioner,41792,2.67,1,1
Toothpaste,1646,25.3,1,0
Jewelry,59153,1.93,0,1
Perfume,68376,2.51,1,1
Milk,1260,17.2,0,0
Perfume,79685,3.16,1,1
Salt,778,15.9,1,0
Designer Bag,93324,1.96,1,1
Toothpaste,1351,18.8,0,0
Eggs,1200,23.1,1,0
Soap,1346,25.9,1,0
Cooking Oil,758,29.9,0,0
Vegetables,1006,27.0,0,0
Air Conditioner,61077,3.3,0,1
Designer Bag,48288,1.0,0,1
Camera,25497,1.22,1,1
Luxury Watch,67942,0.76,1,1
Smartphone,23928,2.5,0,1
Designer Bag,26042,4.48,1,1
Rice,1874,19.9,0,0
Salt,1469,13.6,1,0
Bread,1465,22.3,0,0
Gaming Console,6207,3.86,0,1
Camera,72068,0.7,1,1
Soap,626,12.5,1,0
Camera,44876,4.46,1,1
Smart TV,66010,3.67,1,1
Toothpaste,775,11.3,0,0
Soap,1300,17.1,0,0
Smart TV,41180,2.54,1,1
Toothpaste,623,16.1,0,0
Toothpaste,1929,12.2,0,0
Toothpaste,337,14.0,0,0
Luxury Watch,74221,2.64,0,1
Laptop,31933,3.2,1,1
Camera,13542,2.91,1,1
Eggs,1313,19.3,0,0
Shampoo,740,27.4,0,0
Rice,1226,18.6,0,0
Smartphone,17519,3.2,1,1
Cooking Oil,1897,16.7,0,0
Smartphone,38962,3.42,1,1
Toothpaste,364,11.5,0,0
Toothpaste,1717,29.0,1,0
Shampoo,1673,12.5,1,0
Air Conditioner,13989,3.04,0,1
Toothpaste,633,18.4,0,0
Laptop,71144,3.58,1,1
Camera,44019,0.47,1,1
Eggs,420,28.8,0,0
Luxury Watch,72497,0.77,1,1
Laptop,90324,1.84,1,1
Gaming Console,74026,3.88,1,1
Cooking Oil,1724,12.2,1,0
Gaming Console,46305,1.5,1,1
Designer Bag,73577,0.11,1,1
Milk,663,13.6,1,0
Bread,882,18.2,1,0
Air Conditioner,93861,1.92,0,1
Gaming Console,19875,0.19,1,1
Smart TV,9670,1.57,1,1
Smart TV,87790,2.91,1,1
Air Conditioner,90839,3.66,1,1
Bread,193,12.4,1,0
Salt,1351,11.1,1,0
Toothpaste,304,10.4,1,0
Air Conditioner,89283,1.32,1,1
Bread,1290,25.6,0,0
Smartphone,55103,0.63,1,1
Gaming Console,62016,3.69,1,1
Smart TV,97243,3.6,1,1
Air Conditioner,77555,4.95,1,1
Designer Bag,50720,1.73,1,1
Luxury Watch,25344,1.16,1,1
Air Conditioner,43934,4.53,0,1
Vegetables,1952,16.1,0,0
Salt,1021,16.9,0,0
Camera,22238,0.19,1,1
Cooking Oil,652,13.9,0,0
Rice,156,21.6,0,0
Smart TV,17207,1.58,1,1
Soap,311,20.5,0,0
Smartphone,76002,0.64,0,1
Luxury Watch,17894,4.26,1,1
Toothpaste,448,15.9,0,0
Cooking Oil,1831,18.8,0,0
Soap,1853,25.4,0,0
Soap,642,15.6,0,0
Eggs,1862,12.9,1,0
Rice,1633,14.7,0,0
Luxury Watch,94818,1.29,1,1
Shampoo,439,12.5,0,0
Laptop,13634,1.63,0,1
Gaming Console,91366,1.23,0,1
Bread,1019,29.0,1,0
Jewelry,32823,1.95,1,1
Salt,1545,15.2,0,0
Toothpaste,965,21.4,1,0
Eggs,362,28.1,0,0
Perfume,94237,2.31,1,1
Salt,109,16.5,1,0
Soap,1252,16.8,0,0
Rice,672,20.6,0,0
Salt,1970,27.3,0,0
Vegetables,1511,28.6,1,0
Salt,1792,21.9,0,0
Rice,554,15.2,0,0
Milk,1140,29.7,1,0
Laptop,51175,2.03,0,1
Gaming Console,64122,2.67,1,1
Camera,96508,1.6,1,1
Salt,421,24.3,1,0
Jewelry,39849,4.54,1,1
Cooking Oil,374,11.6,1,0
Air Conditioner,83175,3.87,0,1
Jewelry,90632,1.99,0,1
Rice,402,29.0,0,0
Eggs,1444,29.8,0,0
Laptop,22924,1.18,1,1
Smartphone,74534,4.9,1,1
Smart TV,58694,2.82,1,1
Designer Bag,53598,1.91,1,1
Shampoo,161,20.6,1,0
Jewelry,58336,2.3,0,1
Designer Bag,76691,0.62,0,1
Rice,1213,20.9,1,0
Smart TV,70240,4.04,1,1
Smartphone,52307,1.26,1,1
Salt,541,28.3,0,0
Perfume,15148,3.74,1,1
Salt,1213,18.3,1,0
Toothpaste,1036,25.1,1,0
Laptop,94602,0.31,1,1
Perfume,50463,4.19,1,1
Smartphone,98794,1.0,1,1
Milk,1545,10.8,0,0
Smart TV,99653,4.08,1,1
Smart TV,95834,4.91,1,1
Smartphone,56915,0.17,1,1
Soap,538,23.9,0,0
Toothpaste,195,19.8,1,0
Toothpaste,1847,10.7,0,0
Salt,1288,11.5,0,0
Smartphone,58612,4.11,1,1
Rice,631,13.2,1,0
Luxury Watch,11028,4.03,1,1
Luxury Watch,11579,4.49,1,1
Cooking Oil,1606,11.2,0,0
Smartphone,25914,1.82,1,1
Cooking Oil,319,19.5,0,0
Soap,295,20.4,0,0
Designer Bag,35951,4.54,0,1
Milk,1777,16.9,0,0
Toothpaste,269,14.4,0,0
Smart TV,54671,4.23,0,1
Smart TV,77997,2.8,1,1
Eggs,396,14.5,0,0
Jewelry,66807,0.88,1,1
Smartphone,42561,4.61,1,1
Air Conditioner,96270,2.51,1,1
Rice,175,19.7,0,0
Smartphone,30296,3.36,0,1
Shampoo,1223,11.9,1,0
Salt,635,12.7,0,0
Smart TV,31133,3.21,1,1
Toothpaste,723,11.3,1,0
Salt,1405,15.8,0,0
Designer Bag,63433,4.32,1,1
Air Conditioner,29754,4.82,0,1
Milk,666,19.8,1,0
Jewelry,85891,0.65,1,1
Air Conditioner,35856,5.0,0,1
Luxury Watch,95873,1.47,0,1
Smartphone,81442,4.11,1,1
